TC,LAT_GPS,LON_GPS,GPS_ALT,O3_TECO,CO_AERO,NO_pptV,NO2_pptV,NO,NO2,SS_ColA,CCN_ColA,SS_ColB,CCN_ColB,CNC_Conc,CO2_ppm,CH4,BC_mass,BC_number,Scatter_number,methanol_ppb,acetonitrile_ppb,acetaldehyde_ppb,acetone_ppb,isoprene_furan_ppb,mvk_macr_ppb,mek_ppb,benzene_ppb,toluene_ppb,c9_aromatics_ppb,monoterpenes_ppb
56653,-3.05091953277588,-59.9029541015625,666.6875,21.9371032714844,155.046813964844,0,0,0,0,0.3275,818.71,0.1356,581.76,-9999,389.63,1801.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56654,-3.05078506469727,-59.9038391113281,668.1875,21.0496063232422,146.511291503906,0,0,0,0,0.3277,834.2,0.1357,543.43,-9999,390.12,1801.93,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56655,-3.05064010620117,-59.9047393798828,668.4375,20.9509811401367,149.925476074219,0,0,0,0,0.3279,789.26,0.1359,560.49,-9999,390.56,1802.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56656,-3.0504846572876,-59.9056243896484,668.3125,20.9509811401367,156.374450683594,0,0,0,0,0.3281,905.41,0.136,585.06,-9999,390.57,1801.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56657,-3.05031967163086,-59.906494140625,668.25,21.0496063232422,154.667358398438,0,0,0,0,0.3282,825.33,0.136,552.41,-9999,390.37,1801.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56658,-3.05014705657959,-59.9073791503906,667,20.4579238891602,154.098388671875,0,0,0,0,0.3281,863.78,0.136,547.64,-9999,390.74,1802.64,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56659,-3.04996490478516,-59.9082489013672,665.375,20.4579238891602,154.288024902344,0,0,0,0,0.3283,784.94,0.1361,634.67,-9999,390.56,1803.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56660,-3.04977512359619,-59.9091186523438,664.25,20.4579238891602,151.063537597656,20.55,82.64,20.55,82.64,0.3284,830.74,0.1362,591.84,-9999,390.52,1801.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56661,-3.04958057403564,-59.9099884033203,663.375,20.4579238891602,155.805419921875,0,0,0,0,0.3284,687.38,0.1362,463.03,-9999,390.4,1800.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56662,-3.04938125610352,-59.9108428955078,662.6875,21.4440383911133,152.011962890625,0,0,0,0,0.3284,774.1,0.1362,177.81,-9999,390.73,1802.14,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56663,-3.04917621612549,-59.9117126464844,662.125,21.5426635742188,157.322875976563,0,0,0,0,0.3284,778.62,0.1362,123.28,-9999,390.62,1799.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56664,-3.04896450042725,-59.9125518798828,662.125,21.4440383911133,153.149963378906,0,0,0,0,0.3283,754.49,0.1361,151.49,-9999,390.41,1799.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56665,-3.04874897003174,-59.9134063720703,662,21.5426635742188,150.494567871094,0,0,0,0,0.3284,745.72,0.1362,210.63,-9999,390.56,1799.37,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56666,-3.04852771759033,-59.9142456054688,662,23.021842956543,151.44287109375,0,0,0,0,0.3284,856.32,0.1362,222.57,-9999,391.83,1800.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56667,-3.04830551147461,-59.9151000976563,660.5625,23.021842956543,154.667358398438,0,0,0,0,0.3284,765.41,0.1362,274.11,-9999,391.87,1800.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56668,-3.04808139801025,-59.9159393310547,659,23.021842956543,160.736999511719,0,0,0,0,0.3282,780.42,0.136,258.49,-9999,391.69,1799.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56669,-3.04785537719727,-59.9167785644531,657.5625,23.021842956543,152.770629882813,0,0,0,0,0.3282,831.54,0.136,339.27,-9999,391.67,1800.77,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56670,-3.04762935638428,-59.9176177978516,656.3125,23.613525390625,149.546142578125,31.55,65.36,31.55,65.36,0.3283,783.29,0.1361,367.02,-9999,391.64,1799.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56671,-3.04740428924561,-59.91845703125,654.6875,23.5149002075195,153.719055175781,0,0,0,0,0.3283,790.7,0.1361,294.92,-9999,391.77,1800.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56672,-3.04717636108398,-59.9192962646484,653.1875,23.613525390625,150.873901367188,0,0,0,0,0.3288,3596.08,0.1364,1176.59,-9999,390.99,1800.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56673,-3.04694747924805,-59.9201354980469,651.9375,23.5149002075195,161.685424804688,0,0,0,0,0.3287,196.82,0.1364,26.39,-9999,390.74,1801.02,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56674,-3.04671859741211,-59.9209899902344,651,23.021842956543,159.409240722656,0,0,0,0,0.3286,148.07,0.1363,27.21,-9999,390.68,1803.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56675,-3.0464916229248,-59.9218292236328,650.875,23.021842956543,150.873901367188,0,0,0,0,0.3285,162.89,0.1363,35.29,-9999,390.13,1804.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56676,-3.04626560211182,-59.9226684570313,651.0625,23.1204681396484,146.321655273438,0,0,0,0,0.3285,152.37,0.1362,27.76,-9999,390.45,1804.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56677,-3.04603958129883,-59.9235076904297,651.625,23.021842956543,149.735778808594,0,0,0,0,0.3284,184.88,0.1362,49.6,-9999,390.92,1804.42,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56678,-3.04581260681152,-59.9243469238281,651.1875,22.5287857055664,153.529357910156,0,0,0,0,0.328,872.78,0.1359,473.04,-9999,390.47,1804.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56679,-3.04558849334717,-59.9251861572266,651.375,22.5287857055664,153.719055175781,0,0,0,0,0.328,936.06,0.1359,555.76,-9999,390.51,1805.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56680,-3.04536247253418,-59.9260406494141,652,22.5287857055664,150.494567871094,123.18,387.18,123.18,387.18,0.3279,851.5,0.1358,559.02,-9999,390.18,1804.97,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56681,-3.04513645172119,-59.9268798828125,653.5625,22.5287857055664,158.081604003906,0,0,0,0,0.328,896.39,0.1359,588.49,-9999,389.38,1806.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56682,-3.04491710662842,-59.9277191162109,655.0625,21.0496063232422,151.822326660156,0,0,0,0,0.328,927.07,0.1359,597.69,-9999,389.24,1806.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56683,-3.04470252990723,-59.9285736083984,656.625,20.9509811401367,149.166809082031,0,0,0,0,0.3281,907.68,0.136,556.1,-9999,389.35,1809.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56684,-3.04448890686035,-59.9294281005859,656.1875,20.9509811401367,152.391296386719,0,0,0,0,0.3281,868.44,0.136,607.74,-9999,389.55,1809.27,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56685,-3.04427337646484,-59.9302825927734,656.3125,20.9509811401367,163.01318359375,0,0,0,0,0.3281,833.31,0.136,540.04,-9999,389.9,1809.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56686,-3.04405879974365,-59.9311370849609,654.3125,20.9509811401367,167.375671386719,0,0,0,0,0.3283,817.6,0.1361,504.65,-9999,389.73,1810.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56687,-3.04385185241699,-59.9319915771484,651.5,21.0496063232422,160.168029785156,0,0,0,0,0.3284,834.29,0.1362,542.21,-9999,389.97,1809.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56688,-3.04364967346191,-59.932861328125,648.8125,20.9509811401367,162.254455566406,0,0,0,0,0.3284,809.81,0.1362,344.96,-9999,389.9,1807.4,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56689,-3.0434513092041,-59.9337158203125,644.8125,21.0496063232422,163.771850585938,0,0,0,0,0.3283,811.54,0.1361,191.89,-9999,391.2,1804.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56690,-3.04325866699219,-59.9345855712891,641.0625,21.4440383911133,172.497009277344,28,158.45,28,158.45,0.3284,802.05,0.1362,177.53,-9999,391.12,1805.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56691,-3.04307079315186,-59.9354400634766,638.0625,21.5426635742188,168.324096679688,0,0,0,0,0.3285,758.69,0.1362,195.77,-9999,390.8,1804.81,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56692,-3.04288959503174,-59.9363098144531,635.4375,21.4440383911133,158.4609375,0,0,0,0,0.3285,840.68,0.1362,185.76,-9999,390.51,1803.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56693,-3.04271602630615,-59.9371795654297,633.3125,21.5426635742188,155.615783691406,0,0,0,0,0.3285,780.32,0.1362,158.25,-9999,389.91,1802.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56694,-3.04255104064941,-59.9380493164063,632,23.021842956543,149.546142578125,0,0,0,0,0.3285,790.99,0.1362,196.1,-9999,389.92,1803.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
